"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
66,"National","Norway",NA,"Terrestrial","Forests","Contemporary only","Representation","case study","GIS overlay/ Ranking / Clustering","Other",NA,"None","None","yes","no","Barton D.N., Blumentrath S., Rusch G.","Policyscape-A Spatially Explicit Evaluation of Voluntary Conservation in a Policy Mix for Biodiversity Conservation in Norway",2013,"Society and Natural Resources","10.1080/08941920.2013.799727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885028713&doi=10.1080%2f08941920.2013.799727&partnerID=40&md5=213495d37a68ce50997da83bf9b015af","biodiversity conservation; cost-effectiveness; economic instruments; functional role; payments for ecosystem services; policy mix; policyscape","biodiversity; conservation management; cost-benefit analysis; economic instrument; ecosystem service; environmental economics; environmental modeling; environmental policy; nature conservation; policy approach; Norway","Article","Scopus",31,5
67,"Regional","Mediterranean",NA,"Marine","All","Contemporary only","Priority places","case study","Marxan*","Species",77,"Costs","None","yes","no","Levin N., Tulloch A.I.T., Gordon A., Mazor T., Bunnefeld N., Kark S.","Incorporating socioeconomic and political drivers of international collaboration into marine conservation planning",2013,"BioScience","10.1525/bio.2013.63.7.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881518420&doi=10.1525%2fbio.2013.63.7.8&partnerID=40&md5=2d09144bde3b14673504f879e90a03a6","international collaboration; marine conservation planning; Marxan; Mediterranean Sea; spatial prioritization","NA","Review","Scopus",27,1
68,"Local","Greece","Zakynthos","Marine",NA,"Contemporary only","Priority places","case study","Other","Species",1,"None","Structural","no","no","Schofield G., Scott R., Dimadi A., Fossette S., Katselidis K.A., Koutsoubas D., Lilley M.K.S., Pantis J.D., Karagouni A.D., Hays G.C.","Evidence-based marine protected area planning for a highly mobile endangered marine vertebrate",2013,"Biological Conservation","10.1016/j.biocon.2013.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876696695&doi=10.1016%2fj.biocon.2013.03.004&partnerID=40&md5=c9476ac651ca6f84d3b8850237880de3","Decision support; Ecology; Natural resource management; Phenology; Policy; Sea turtle; Systematic conservation planning","Argo; biological survey; breeding population; breeding site; conservation management; conservation planning; data acquisition; decision support system; endangered species; feeding behavior; fishery management; GPS; marine park; phenology; reserve design; tourism development; turtle; Aegean Islands; Greece; Ionian Islands; Zakynthos [Ionian Islands]; Zakynthos National Marine Park; Caretta; Caretta caretta; Cheloniidae; Testudines; Vertebrata","Article","Scopus",107,1
69,"Local","Portugal","South","Terrestrial",NA,"Contemporary only","Representation","case study","GIS overlay/ Ranking / Clustering","Species",3,"None","None","no","no","Rainho A., Palmeirim J.M.","Prioritizing conservation areas around multispecies bat colonies using spatial modeling",2013,"Animal Conservation","10.1111/acv.12013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881027630&doi=10.1111%2facv.12013&partnerID=40&md5=df2a18c38777eff537596f17e92fdf32","Habitat suitability modeling; Landscape management; Miniopterus schreibersii; Multispecies colonies; Myotis myotis; Natura 2000; Rhinolophus mehelyi","bat; conservation management; efficiency measurement; endangered species; environmental protection; foraging behavior; foraging efficiency; habitat management; habitat selection; nursery ground; survival; wildlife management; Portugal; Miniopterus schreibersii; Myotis myotis; Rhinolophus mehelyi; Vertebrata","Article","Scopus",19,0
70,"National","United Kingdom",NA,"Terrestrial",NA,"Contemporary only","Synergies/Tradeoffs","case study","Zonation","Multiple",400,"Multi-objective/criteria","None","no","no","Thomas C.D., Anderson B.J., Moilanen A., Eigenbrod F., Heinemeyer A., Quaife T., Roy D.B., Gillings S., Armsworth P.R., Gaston K.J.","Reconciling biodiversity and carbon conservation",2013,"Ecology Letters","10.1111/ele.12054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877906548&doi=10.1111%2fele.12054&partnerID=40&md5=e13ebb50a5065224974c27730224ebab","Adaptation; Biodiversity; Carbon; Climate change; Conservation; Extinction; Global; Protected areas; REDD; Spatial planning","carbon; biodiversity; carbon sequestration; climate change; conservation planning; extinction risk; geographical distribution; global change; land surface; mitigation; protected area; spatial planning; article; biodiversity; ecosystem; environmental protection; soil; United Kingdom; United States; Biodiversity; California; Carbon; Conservation of Natural Resources; Ecosystem; England; Soil; United Kingdom","Article","Scopus",91,3
71,"Europe","Europe",NA,"Freshwater","Wetlands","Contemporary only","Priority places","Water Frameworks Directive","Integer programming","Ecosystems",1,"Costs","Structural","yes","no","Schleupner, C., & Schneider, U. A.","Allocation of European wetland restoration options for systematic conservation planning.",2013,"Land use policy","10.1016/j.landusepol.2012.05.008",NA,NA,NA,"Article","Manual",26,2
72,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Representation","Aichi Targets","Marxan*","Multiple",NA,"Costs","None","yes","no","Egoh B.N., Paracchini M.L., Zulian G., Schägner J.P., Bidoglio G.","Exploring restoration options for habitats, species and ecosystem services in the European Union",2014,"Journal of Applied Ecology","10.1111/1365-2664.12251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904416449&doi=10.1111%2f1365-2664.12251&partnerID=40&md5=68a9acf23aa89d8fba3ac2c610a23e67","Agricultural production; Aichi biodiversity target; Conservation planning; Ecosystem services; EU biodiversity strategy; Pollination; Prioritizing areas; Restoration","bird; cost-benefit analysis; ecosystem service; environmental planning; habitat restoration; uncertainty analysis; Europe; Aves","Article","Scopus",38,11
73,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Representation","None","Zonation","Species",146,"None","None","no","no","Meller L., Cabeza M., Pironon S., Barbet-Massin M., Maiorano L., Georges D., Thuiller W.","Ensemble distribution models in conservation prioritization: From consensus predictions to consensus reserve networks",2014,"Diversity and Distributions","10.1111/ddi.12162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893960701&doi=10.1111%2fddi.12162&partnerID=40&md5=07a474baad86c5065a29709af4d3ff81","Consensus predictions; Efficiency; Optimization; Rare species; Systematic conservation planning; Uncertainty",NA,"Article","Scopus",74,1
74,"National","Sweden",NA,"Terrestrial","Forest","Contemporary only","Priority places","None","Integer programming","Ecosystems",16,"Costs","None","yes","yes","Lundström J., Öhman K., Rönnqvist M., Gustafsson L.","How reserve selection is affected by preferences in Swedish boreal forests",2014,"Forest Policy and Economics","10.1016/j.forpol.2013.12.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894227270&doi=10.1016%2fj.forpol.2013.12.007&partnerID=40&md5=ac5de142db5891ae5d7d89715e143354","AHP; Conservation planning; Cost-effective; Goal programming; Optimization; Swedish national forest inventory","NA","Article","Scopus",2,0
75,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Representation","None","GIS overlay/ Ranking / Clustering","Species",17,"None","None","no","no","Santini L., Di Marco M., Boitani L., Maiorano L., Rondinini C.","Incorporating spatial population structure in gap analysis reveals inequitable assessments of species protection",2014,"Diversity and Distributions","10.1111/ddi.12198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899619593&doi=10.1111%2fddi.12198&partnerID=40&md5=9034359fdf39443ea31ee210b0516af9","Conservation target; Equitable conservation target; Gap analysis; Persistence; Population spatial structure; Protected areas; Representation; Viability","carnivore; conservation planning; dispersal; gap dynamics; geographical distribution; persistence; population density; population structure; population viability analysis; protected area; species conservation; ungulate; Ungulata","Article","Scopus",21,2
76,"Local","Norway","Telemark","Terrestrial","Forests","Contemporary only","Management action","case study","Marxan*","Multiple",64,"Multi-objective/criteria","None","yes","no","Schröter M., Rusch G.M., Barton D.N., Blumentrath S., Nordén B.","Ecosystem services and opportunity costs shift spatial priorities for conserving forest biodiversity",2014,"PLoS ONE","10.1371/journal.pone.0112557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911884706&doi=10.1371%2fjournal.pone.0112557&partnerID=40&md5=cf2ed96eef473ca45a8bf52324557d9f","NA","Article; conservation biology; controlled study; cost; ecosystem service; environmental management; environmental protection; forest management; forestry; landscape; Norway; opportunity cost; process optimization; timber; wood; biodiversity; climate; computer simulation; ecology; forest; forestry; geography; procedures; Biodiversity; Climate; Computer Simulation; Conservation of Natural Resources; Ecology; Forestry; Forests; Geography; Norway","Article","Scopus",39,1
77,"Local","Sweden","Kosterhavet National Park","Marine","All","Contemporary only","Management action","case study","Marxan*","Multiple",11,"Costs","None","yes","no","Gonzalez-Mirelis G., Lindegarth M., Sköld M.","Using vessel monitoring system data to improve systematic conservation planning of a multiple-use marine protected area, the Kosterhavet National Park (Sweden)",2014,"Ambio","10.1007/s13280-013-0413-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897076482&doi=10.1007%2fs13280-013-0413-7&partnerID=40&md5=d980e60a80e3ebde86e3b0a47991a3ec","Marine protected area; Marxan; Systematic conservation planning; VMS data","animal; Anthozoa; article; ecosystem; endangered species; environmental protection; fishery; Nephropidae; North Sea; Pandalidae; ship; Sweden; Animals; Anthozoa; Conservation of Natural Resources; Ecosystem; Endangered Species; Fisheries; Nephropidae; North Sea; Pandalidae; Ships; Sweden","Article","Scopus",17,0
78,"Local","Switzerland","cantons of Zürich and Aargau","Freshwater","Rivers","Contemporary only","Management action","none","Marxan*","Other",6,"Costs","Structural","yes","no","Langhans S.D., Hermoso V., Linke S., Bunn S.E., Possingham H.P.","Cost-effective river rehabilitation planning: Optimizing formorphological benefits at large spatial scales",2014,"Journal of Environmental Management","10.1016/j.jenvman.2013.11.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890152775&doi=10.1016%2fj.jenvman.2013.11.021&partnerID=40&md5=2e90ee8085ebeca548815b4761d9f507","Catchment scale; Connectivity; Decision support; Marxan; Rehabilitation funds; Rehabilitation success","catchment; conservation planning; cost-benefit analysis; decision support system; ecosystem service; environmental monitoring; environmental restoration; investment; morphology; optimization; river; spatial analysis; urban area; article; budget; catchment; controlled study; cost effectiveness analysis; ecosystem restoration; process optimization; riparian ecosystem; river; water supply; Catchment scale; Connectivity; Decision support; Marxan; Rehabilitation funds; Rehabilitation success; Conservation of Natural Resources; Cost-Benefit Analysis; Models, Theoretical; Rivers; Switzerland","Article","Scopus",22,1
79,"Local","United Kingdom","Cornwall","Terrestrial",NA,"Contemporary only","Synergies/Tradeoffs","case study","Zonation","Multiple",11,"Multi-objective/criteria","None","no","no","Casalegno S., Bennie J.J., Inger R., Gaston K.J.","Regional scale prioritisation for key ecosystem services, renewable energy production and urban development",2014,"PLoS ONE","10.1371/journal.pone.0107822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907482031&doi=10.1371%2fjournal.pone.0107822&partnerID=40&md5=2682ee93eacd88a7e0ec447afd6edf31","NA","agricultural management; agriculture; Article; carbon utilization; decision making; energy yield; environmental aspects and related phenomena; environmental economics; environmental management; environmental monitoring; environmental planning; flood mitigation; key ecosystem service; land use; landscape ecology; plant breeding; recreation; regional scale prioritization; renewable energy; resource allocation; solar energy; spatial covariance; spatial distribution; spatial stationarity; spatial variation; tourism; United Kingdom; urbanization; wind power; zonation; algorithm; ecosystem; environmental protection; flooding; human; policy; procedures; carbon; Agriculture; Algorithms; Carbon; Conservation of Natural Resources; Ecosystem; Floods; Humans; Renewable Energy; Urban Renewal","Article","Scopus",22,3
80,"Regional","Spain, Portugal",NA,"Terrestrial",NA,"Both","Representation","case study","Integer programming","Species",10,"Constrains","Functional","yes","no","Alagador, D., Cerdeira, J. O., & Araújo, M. B.","Shifting protected areas: scheduling spatial priorities under climate change",2014,"Journal Applied Ecology","10.1111/1365-2664.12230","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2664.12230","connectivity, decision theory, degazetting, dispersal, efficiency, network flows, optimization, protected areas, species persistence, systematic conservation planning",NA,"Article","Manual",105,3
81,"Regional","Mediteranean",NA,"Marine","All","Contemporary only","Priority places","None","Marxan*","Species",77,"Costs","None","yes","no","Mazor, T., Giakoumi, S., Kark, S., & Possingham, H. P.","Large‐scale conservation planning in a multinational marine environment: cost matters.",2014,"Ecological Applications","10.1890/13-1249.1",NA,NA,NA,"Article","Manual",52,2
82,"Local","Portugal","North","Terrestrial","All","Both","Representation","None","Marxan*","Species",7,"None","None","no","no","Francisco Amorim, Sílvia B Carvalho, João Honrado, Hugo Rebelo","Designing optimized multi-species monitoring networks to detect range shifts driven by climate change: a case study with bats in the North of Portugal",2014,"PloS one","10.1371/journal.pone.0087291",NA,NA,NA,"Article","Manual",33,0
83,"Local","Germany","Saxony","Terrestrial","Grassland","Both","Management action","Case study","Other","Species",2,"Multi-objective/criteria","None","yes","no","Mewes M., Drechsler M., Johst K., Sturm A., Wätzold F.","A systematic approach for assessing spatially and temporally differentiated opportunity costs of biodiversity conservation measures in grasslands",2015,"Agricultural Systems","10.1016/j.agsy.2015.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928348798&doi=10.1016%2fj.agsy.2015.03.010&partnerID=40&md5=37e51b9f7407e1f0924e1b35b8a848f5","Agri-environment scheme; Biodiversity conservation; Cost-effectiveness; DSS-Ecopay; Ecological-economic modeling; Grassland","agri-environmental policy; agricultural intensification; biodiversity; cost analysis; endangered species; European Union; grassland; grazing; rural development; spatiotemporal analysis; Germany; Saxony","Article","Scopus",20,1
84,"National","Hungary",NA,"Freshwater","Rivers, Lakes","Contemporary only","Priority places","None","Marxan*","Species",75,"None","Boundary","no","no","Dolezsai A., Sály P., Takács P., Hermoso V., Erős T.","Restricted by borders: trade-offs in transboundary conservation planning for large river systems",2015,"Biodiversity and Conservation","10.1007/s10531-015-0864-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930536691&doi=10.1007%2fs10531-015-0864-1&partnerID=40&md5=211c69d4ecb262ecbf35f0ba5c8e39d9","Fish; Freshwater conservation areas; Marxan; Rivers; Systematic conservation planning","biodiversity; conservation planning; fish; river system; transboundary cooperation; water resource; Danube River; Hungary; Tisza River","Article","Scopus",18,0
85,"Local","Portugal","Peneda-Gerês National Park","Terrestrial","All","Contemporary only","Representation","None","Marxan*","Species",177,"None","None","no","no","Ceauşu S., Gomes I., Pereira H.M.","Conservation Planning for Biodiversity and Wilderness: A Real-World Example",2015,"Environmental Management","10.1007/s00267-015-0453-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937758876&doi=10.1007%2fs00267-015-0453-9&partnerID=40&md5=6e8199181a542e6b67e33a22db167388","Area prioritization; Complementarity; Conservation management; Conservation planning; Protected areas; Wilderness; Zoning","Biodiversity; Conservation; Ecology; Economic and social effects; Environmental protection; Zoning; Complementarity; Conservation management; Conservation planning; Prioritization; Protected areas; Wilderness; Ecosystems; biodiversity; ecosystem; environmental protection; Portugal; procedures; wilderness; Biodiversity; Conservation of Natural Resources; Ecosystem; Portugal; Wilderness","Article","Scopus",21,1
86,"Local","Germany","Saxony","Terrestrial","Grassland","Both","Management action","Case study","Other","Species",37,"Multi-objective/criteria","None","yes","no","Johst K., Drechsler M., Mewes M., Sturm A., Wätzold F.","A novel modeling approach to evaluate the ecological effects of timing and location of grassland conservation measures",2015,"Biological Conservation","10.1016/j.biocon.2014.11.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949117684&doi=10.1016%2fj.biocon.2014.11.033&partnerID=40&md5=9aeac6dea09161d063a4b195b3a07f93","Agri-environment; Biodiversity conservation; Birds; Butterflies; Ecological modeling; Grassland use","agri-environmental policy; biodiversity; conservation management; decision making; ecological modeling; grassland; habitat quality; new record; quantitative analysis; spatiotemporal analysis; Germany; Saxony; Aves; Papilionoidea","Article","Scopus",20,0
87,"Local","France","Burgundy","Terrestrial","All","Contemporary only","Priority places","Case study","Other","Species",1,"None","Multiple","no","no","Clauzel C., Bannwarth C., Foltete J.-C.","Integrating regional-scale connectivity in habitat restoration: An application for amphibian conservation in eastern France",2015,"Journal for Nature Conservation","10.1016/j.jnc.2014.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922740533&doi=10.1016%2fj.jnc.2014.07.001&partnerID=40&md5=b9574ce0cd581a7d1903a83429ab9672","Amphibian conservation; Connectivity; Habitat restoration; Hyla arborea; Landscape graphs","Amphibia; Hyla arborea","Article","Scopus",46,0
88,"Local","Ireland","North","Marine","Coastal","Contemporary only","Synergies/Tradeoffs","None","Marxan*","Multiple",60,"Multi-objective/criteria","Boundary","no","no","Yates K.L., Schoeman D.S., Klein C.J.","Ocean zoning for conservation, fisheries and marine renewable energy: Assessing trade-offs and co-location opportunities",2015,"Journal of Environmental Management","10.1016/j.jenvman.2015.01.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923004117&doi=10.1016%2fj.jenvman.2015.01.045&partnerID=40&md5=855f6c3a30dafd824cf4e473b0b7059f","Fisheries management; Marine protected areas; Marine spatial planning; Off-shore wind farms; Tidal energy","biodiversity; conservation planning; decision making; fishery management; marine park; offshore application; renewable resource; software; spatial planning; strategic approach; sustainability; tidal power; trade-off; wind farm; Article; computer program; conservation biology; cost; energy conservation; environmental aspects and related phenomena; environmental protection; fishery; fishery management; fishing; food industry; marine environment; ocean zoning; renewable energy; tidal power; environmental protection; procedures; sea; United Kingdom; Conservation of Natural Resources; Fisheries; Northern Ireland; Oceans and Seas; Renewable Energy","Article","Scopus",77,2
89,"National","United Kingdom","England","Marine","All","Contemporary only","Priority places","case study","Marxan*","Other",30,"Constrains","Structural","yes","no","Metcalfe K., Vaughan G., Vaz S., Smith R.J.","Spatial, socio-economic, and ecological implications of incorporating minimum size constraints in marine protected area network design",2015,"Conservation Biology","10.1111/cobi.12571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955209049&doi=10.1111%2fcobi.12571&partnerID=40&md5=513ed79a1b34dd77adaee21247ad2d39","Connectivity; Marxan; MinPatch; Spatial conservation prioritization; Spill-over and export; Systematic conservation planning; Viability","biodiversity; connectivity; conservation planning; dispersal; ecological approach; marine environment; network design; prioritization; protected area; size effect; socioeconomic impact; software; spatial analysis; strategic approach; viability; United Kingdom; animal; animal dispersal; biodiversity; England; environmental protection; fish; fishery; invertebrate; physiology; population dynamics; procedures; Animal Distribution; Animals; Biodiversity; Conservation of Natural Resources; England; Fisheries; Fishes; Invertebrates; Population Dynamics","Article","Scopus",21,2
90,"Local","Portugal","Sesimbra","Marine",NA,"Contemporary only","Priority places","case study","Marxan*","Ecosystems",11,"Costs","None","yes","no","Abecasis D., Afonso P., Erzini K.","Toward adaptive management of coastal MPAs: The influence of different conservation targets and costs on the design of no-take areas",2015,"Ecological Informatics","10.1016/j.ecoinf.2015.08.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948720927&doi=10.1016%2fj.ecoinf.2015.08.009&partnerID=40&md5=ce4e50c956b539d900b56e9956673a35","Conservation targets; Marine reserves; Marxan; No-take areas","adaptive management; artisanal fishery; coastal zone management; conservation planning; ecological impact; economic impact; habitat type; human activity; marine park; software; stakeholder; Luiz Saldanha Marine Park; Portugal; Portugal; Setubal [Portugal]","Article","Scopus",8,1
91,"Regional","Spain, Portugal",NA,"Freshwater","Rivers","Contemporary only","Priority places","EU Biodiversity Strategy","Marxan*","Species",91,"Costs","Structural","yes","no","Hermoso V., Filipe A.F., Segurado P., Beja P.","Filling gaps in a large reserve network to address freshwater conservation needs",2015,"Journal of Environmental Management","10.1016/j.jenvman.2015.07.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937197093&doi=10.1016%2fj.jenvman.2015.07.023&partnerID=40&md5=26bf69d7c188f983980ee4d7a3c51065","Amphibians; Connectivity; Endemic; Fish; Marxan; Reptiles","fresh water; fresh water; amphibian; biodiversity; connectivity; endangered species; endemic species; fish; freshwater ecosystem; habitat conservation; nature reserve; prioritization; reptile; spatial distribution; vulnerability; Amphibia; aquatic species; Article; biodiversity; catchment; endangered species; environmental parameters; environmental planning; environmental protection; freshwater environment; freshwater fish; nonhuman; reptile; species conservation; species distribution; animal; ecosystem; environment; environmental protection; fish; procedures; Spain; Iberian Peninsula; Amphibia; Reptilia; Amphibians; Animals; Biodiversity; Conservation of Natural Resources; Ecosystem; Endangered Species; Environment; Fishes; Fresh Water; Reptiles; Spain","Article","Scopus",22,2
92,"Local","Portugal","Azores","Marine",NA,"Contemporary only","Management action","case study","Marxan*","Multiple",64,"Multi-objective/criteria","None","yes","no","Schmiing M., Diogo H., Santos R.S., Afonso P.","Marine conservation of multispecies and multi-use areas with various conservation objectives and targets",2015,"ICES Journal of Marine Science","10.1093/icesjms/fsu180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925691062&doi=10.1093%2ficesjms%2ffsu180&partnerID=40&md5=109ff93ec7a9292098b174657c39c666","Biodiversity surrogates; Fisheries management; Marine spatial management; Marxan; Socio-economic data; Systematic conservation planning","abundance; alga; archipelago; biotype; conservation planning; cost-benefit analysis; design method; fishery management; habitat conservation; habitat type; marine resource; multispecies fishery; protected area; reproductive potential; software; species conservation; sustainability; vulnerability; Azores; Portugal; algae","Article","Scopus",18,2
93,"Local","Spain","La Palma","Marine","Coastal","Contemporary only","Multiple","case study","Marxan*","Multiple",NA,"Costs","Boundary","yes","no","Martín-García L., Sangil C., Brito A., Barquín-Diez J.","Identification of conservation gaps and redesign of island marine protected areas",2015,"Biodiversity and Conservation","10.1007/s10531-014-0833-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925516148&doi=10.1007%2fs10531-014-0833-0&partnerID=40&md5=7710cd57d1944580676e9aacf6b8ac99","Biodiversity; Canary Islands; Marine management; Marine reserve; Marxan; Spatial planning","NA","Article","Scopus",10,2
94,"National","United Kingdom","Wales","Marine",NA,"Contemporary only","Priority places","case study","Marxan*","Other",51,"None","None","no","yes","Ruiz-Frau A., Possingham H.P., Edwards-Jones G., Klein C.J., Segan D., Kaiser M.J.","A multidisciplinary approach in the design of marine protected areas: Integration of science and stakeholder based methods",2015,"Ocean and Coastal Management","10.1016/j.ocecoaman.2014.11.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911949555&doi=10.1016%2fj.ocecoaman.2014.11.012&partnerID=40&md5=c3c096a342025d3f307e24a84b9b5ac9","Conservation; Integration; Marine protected areas; Marine reserves; Marxan; Socioeconomic data; Stakeholders; Systematic conservation planning","Decision support systems; Environmental protection; Integration; Site selection; Marine protected area; Marine reserve; Marxan; Socio-economic data; Stakeholders; Systematic conservation planning; Conservation; conservation planning; decision support system; integrated approach; marine park; reserve design; socioeconomic conditions; spatial data; stakeholder; United Kingdom; Wales","Article","Scopus",34,4
95,"Local","Finland","Savonia","Terrestrial","Forest","Contemporary only","Management action","case study","Zonation","Other",20,"None","Functional","no","no","Lehtomäki J., Tuominen S., Toivonen T., Leinonen A.","What data to use for forest conservation planning? A comparison of coarse open and detailed proprietary forest inventory data in Finland",2015,"PLoS ONE","10.1371/journal.pone.0135926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943279605&doi=10.1371%2fjournal.pone.0135926&partnerID=40&md5=dba34518286c7c2dbde6adfd30a253de","NA","access to information; algorithm; Article; biodiversity; comparative study; controlled study; decision making; environmental planning; environmental protection; Finland; forest management; geographic distribution; measurement repeatability; validation study; endangered species; factual database; forest; forestry; physiology; procedures; software; tree; Databases, Factual; Endangered Species; Finland; Forestry; Forests; Software; Trees","Article","Scopus",15,2
96,"Local","Finland","South","Terrestrial",NA,"Contemporary only","Multiple","case study","Zonation","Multiple",NA,"None","Structural","no","no","Räsänen A., Lensu A., Tomppo E., Kuitunen M.","Comparing conservation value maps and mapping methods in a rural landscape in southern Finland",2015,"Landscape Online","10.3097/LO.201544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954323047&doi=10.3097%2fLO.201544&partnerID=40&md5=93758d7d685258627064fa98df9272c9","Ecosystem services; GIS; Habitat type; Naturalness; Species richness","NA","Article","Scopus",6,0
97,"Europe","Europe",NA,"Terrestrial","protected areas","Contemporary only","Representation","case study","GIS overlay/ Ranking / Clustering","Species",1149,"None","Functional","no","no","Maiorano, L., Amori, G. & Boitani, L","On how much biodiversity is covered in Europe by national protected areas and by the Natura 2000 network: insights from terrestrial vertebrates",2015,"Conservation Biology","10.1111/cobi.12535","https://doi.org/10.1111/cobi.12535",NA,NA,"Article","Manual",83,7
98,"Regional","United Kingdom, France","English channel","Marine","Coastal","Both","Management action","None","Marxan*","Multiple",33,"Multi-objective/criteria","Boundary","yes","no","Reecht, Y., Gasche, L., Lehuta, S., Vaz, S., Smith, R. J., Mahévas, S., & Marchal, P.","Toward a dynamical approach for systematic conservation planning of Eastern English Channel fisheries",2015,"Marine productivity: perturbations and resilience of socio-ecosystems",NA,"https://link.springer.com/chapter/10.1007/978-3-319-13878-7_19",NA,NA,"Article","Manual",0,0
99,"Local","United Kingdom","Wales","Marine","Coastal","Contemporary only","Synergies/Tradeoffs","Case study","Marxan*","Ecosystems",38,"Multiple","None","yes","no","Ruiz-Frau, A., Kaiser, M. J., Edwards-Jones, G., Klein, C. J., Segan, D., & Possingham, H. P.","Balancing extractive and non-extractive uses in marine conservation plans",2015,"Marine Policy","10.1016/j.marpol.2014.10.017",NA,NA,NA,"Article","Manual",19,5
100,"Local","United Kingdom, France","English Channel","Marine","Coastal","Both","Management action","None","Marxan*","Multiple",58,"Multi-objective/criteria","None","no","no","Kristian Metcalfe, Sandrine Vaz, Georg H Engelhard, Maria Ching Villanueva, Robert J Smith, Steven Mackinson","Evaluating conservation and fisheries management strategies by linking spatial prioritization software and ecosystem and fisheries modelling tools",2015,"Journal of Applied Ecology","10.1111/1365-2664.12404",NA,NA,NA,"Article","Manual",37,2
101,"Local","France","South-east","Terrestrial","All","Contemporary only","Priority places","None","GIS overlay/ Ranking / Clustering","Species",1,"None","Structural","no","no","Duflot, R., Avon, C., Roche, P., & Bergès, L.","Combining habitat suitability models and spatial graphs for more effective landscape conservation planning: An applied methodological framework and a species case study",2015,"Journal for Nature Conservation","10.1016/j.jnc.2018.08.005",NA,NA,NA,"Article","Manual",69,0
102,"Local","Italy","Tuscany","Terrestrial","All","Contemporary only","Representation","None","Other","Other",4,"None","None","no","no","Riccioli F., Fratini R., Boncinelli F., El Asmar T., El Asmar J.-P., Casini L.","Spatial analysis of selected biodiversity features in protected areas: A case study in Tuscany region",2016,"Land Use Policy","10.1016/j.landusepol.2016.06.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975735295&doi=10.1016%2fj.landusepol.2016.06.023&partnerID=40&md5=c3be4c98d04412f6665eaf6f8789d7b3","Biodiversity indicators; GIS; Protected areas; Spatial MultiCriteria analysis; Territorial planning","biodiversity; GIS; multicriteria analysis; protected area; satellite data; spatial analysis; Italy; Tuscany","Article","Scopus",20,0
103,"Local","Italy","Molise","Terrestrial","all","Contemporary only","Representation","Habitats Directive","Marxan*","Multiple",107,"None","None","yes","no","Foresta M., Carranza M.L., Garfì V., Di Febbraro M., Marchetti M., Loy A.","A systematic conservation planning approach to fire risk management in Natura 2000 sites",2016,"Journal of Environmental Management","10.1016/j.jenvman.2016.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978394580&doi=10.1016%2fj.jenvman.2016.07.006&partnerID=40&md5=639331887d488db317bf25c1e29ce1a8","Conservation actions; Fire probability; Habitat Directive 92/43/EEC; Management plan; Marxan; Mediterranean","biodiversity; coastal zone; conservation management; conservation planning; extinction risk; fire management; habitat conservation; mitigation; optimization; probability; protected area; software; vegetation structure; biodiversity; computer program; fire protection; habitat; Italy; landscape; probability; risk management; species; vegetation; vertebrate; biodiversity; ecosystem; environmental protection; fire; human; procedures; risk management; Italy; Mediterranean Region; Vertebrata; Biodiversity; Conservation of Natural Resources; Ecosystem; Fires; Humans; Italy; Risk Management","Article","Scopus",20,0
